#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                          random|  1.13e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  23|   1000000|     100|0.57906486|  PASSED
      rgb_lagged_sum|  24|   1000000|     100|0.52875751|  PASSED
      rgb_lagged_sum|  25|   1000000|     100|0.54919428|  PASSED
      rgb_lagged_sum|  26|   1000000|     100|0.69203977|  PASSED
      rgb_lagged_sum|  27|   1000000|     100|0.94460588|  PASSED
      rgb_lagged_sum|  28|   1000000|     100|0.53172913|  PASSED
      rgb_lagged_sum|  29|   1000000|     100|0.69189716|  PASSED
      rgb_lagged_sum|  30|   1000000|     100|0.02800842|  PASSED
      rgb_lagged_sum|  31|   1000000|     100|0.20496415|  PASSED
      rgb_lagged_sum|  32|   1000000|     100|0.44934706|  PASSED
     rgb_kstest_test|   0|     10000|    1000|0.21128485|  PASSED
     dab_bytedistrib|   0|  51200000|       1|0.48992865|  PASSED
             dab_dct| 256|     50000|       1|0.89479605|  PASSED
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.76508119|  PASSED
        dab_filltree|  32|  15000000|       1|0.06485827|  PASSED
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.72837330|  PASSED
       dab_filltree2|   1|   5000000|       1|0.14345230|  PASSED
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.27650937|  PASSED



#=============================================================================#
128MB file
https://en.wikipedia.org/wiki/Diehard_tests
