#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                          random|  1.24e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.31720432|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.38563533|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.63232559|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.30142351|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.61707582|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.95437088|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.22898755|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.18447684|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.33917432|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.80732408|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.53280759|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.56882757|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.89369877|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.65900254|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.76572238|  PASSED  
             dab_dct| 256|     50000|       1|0.12220046|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.10813817|  PASSED  
        dab_filltree|  32|  15000000|       1|0.34302873|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.43383792|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.51981481|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.53978951|  PASSED  
